"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
7,17,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
8,17,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
9,16,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
10,17,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
11,17,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
12,16,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
13,32,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
14,3,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
15,14,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
16,1,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
17,8,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
18,1,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
19,1,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
20,1,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
21,1,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
22,204,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
23,14,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
24,4,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
25,12,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
1,88,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
2,43,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
3,28,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
4,14,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
5,7,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
6,16,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
7,19,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
8,19,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
9,9,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
10,5,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
11,7,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
12,10,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
13,11,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
14,11,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
15,11,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
16,11,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
17,11,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
18,11,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_norm_mode"
